status,salesQ5,salesQ4,salesQ3,salesQ2,salesQ1,netIncomeQ5,netIncomeQ4,netIncomeQ3,netIncomeQ2,netIncomeQ1,totalAssetQ5,totalAssetQ4,totalAssetQ3,totalAssetQ2,totalAssetQ1,totalLiabilitiesQ5,totalLiabilitiesQ4,totalLiabilitiesQ3,totalLiabilitiesQ2,totalLiabilitiesQ1,opCashflowQ5,opCashflowQ4,opCashflowQ3,opCashflowQ2,opCashflowQ1,netCashflowQ5,netCashflowQ4,netCashflowQ3,netCashflowQ2,netCashflowQ1
0,-0.06941170248240257,-0.07726521722246707,-0.05673455251087766,-0.08034981477191666,-0.0803784921544925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45649645331815986,0.9306373478444635,-0.9936899818819049,0.36840569838388354,0.0,0.0,0.7696944071502085,-0.9905113989027895,0.0,0.0
0,1.4211056902061467,1.4269978876011413,1.5229228574817733,1.4097659941866478,1.286576491698278,0.05254176564465296,0.053881753903137694,0.047144199119774036,0.040561375514124205,0.15391764867130836,-0.09642666664553184,-0.08926291997589259,-0.08688951698661003,-0.08370582969232285,-0.08409630685611885,-0.2578022949762414,-0.23138150382471023,-0.2508204865032484,-0.2009759248293855,-0.1634096872431521,-0.0025644406582432475,-0.00018639097802102144,0.006310460907194495,-0.004598667196049623,0.35421554339741196,0.20021751940567775,-0.00026759774705238816,0.009488323519917652,0.7076572139997344,0.39189859734554505
0,1.4211095045543212,1.4270017371256458,1.5229268999460797,1.4097698075071385,1.286579989840784,0.05025226772545207,0.04868280205668901,0.036176449276153495,0.03925238713521115,0.15239840778273606,-0.09808125034866673,-0.09082004938599168,-0.08836604363641486,-0.08512141325368784,-0.08546651777670364,-0.2644949690853153,-0.23762492388537293,-0.2576026774856316,-0.20664479791471507,-0.16800646050483217,-0.0011077823539790248,-8.826366134228007e-05,0.006310736130070914,-0.003014827035445021,0.35457290221516274,0.20016799790182463,-0.00028322387145826767,0.009488449689838897,0.7073722243137138,0.3916848699129683
0,-0.06941170248240257,-0.07726521722246707,-0.05673455251087766,-0.08034981477191666,-0.0803784921544925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45649645331815986,0.9306373478444635,-0.9936899818819049,0.36840569838388354,0.0,0.0,0.7696944071502085,-0.9905113989027895,0.0,0.0
0,-0.06941170248240257,-0.07726521722246707,-0.05673455251087766,-0.08034981477191666,-0.0803784921544925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45649645331815986,0.9306373478444635,-0.9936899818819049,0.36840569838388354,0.0,0.0,0.7696944071502085,-0.9905113989027895,0.0,0.0
0,-0.06941170248240257,-0.07726521722246707,-0.05673455251087766,-0.08034981477191666,-0.0803784921544925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45649645331815986,0.9306373478444635,-0.9936899818819049,0.36840569838388354,0.0,0.0,0.7696944071502085,-0.9905113989027895,0.0,0.0
0,-0.06941170248240257,-0.07726521722246707,-0.05673455251087766,-0.08034981477191666,-0.0803784921544925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45649645331815986,0.9306373478444635,-0.9936899818819049,0.36840569838388354,0.0,0.0,0.7696944071502085,-0.9905113989027895,0.0,0.0
0,-0.06941170248240257,-0.07726521722246707,-0.05673455251087766,-0.08034981477191666,-0.0803784921544925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45649645331815986,0.9306373478444635,-0.9936899818819049,0.36840569838388354,0.0,0.0,0.7696944071502085,-0.9905113989027895,0.0,0.0
0,-0.06941170248240257,-0.07726521722246707,-0.05673455251087766,-0.08034981477191666,-0.0803784921544925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45649645331815986,0.9306373478444635,-0.9936899818819049,0.36840569838388354,0.0,0.0,0.7696944071502085,-0.9905113989027895,0.0,0.0
0,-0.06941170248240257,-0.07726521722246707,-0.05673455251087766,-0.08034981477191666,-0.0803784921544925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45649645331815986,0.9306373478444635,-0.9936899818819049,0.36840569838388354,0.0,0.0,0.7696944071502085,-0.9905113989027895,0.0,0.0
