status,salesQ5,salesQ4,salesQ3,salesQ2,salesQ1,netIncomeQ5,netIncomeQ4,netIncomeQ3,netIncomeQ2,netIncomeQ1,totalAssetQ5,totalAssetQ4,totalAssetQ3,totalAssetQ2,totalAssetQ1,totalLiabilitiesQ5,totalLiabilitiesQ4,totalLiabilitiesQ3,totalLiabilitiesQ2,totalLiabilitiesQ1,opCashflowQ5,opCashflowQ4,opCashflowQ3,opCashflowQ2,opCashflowQ1,netCashflowQ5,netCashflowQ4,netCashflowQ3,netCashflowQ2,netCashflowQ1
0,0.004744900661981957,0.004260704379718901,0.005315800203601422,0.004350864748509881,0.00459294837210459,-9.664966903578054e-05,-8.839975935239745e-05,-5.628034791129351e-05,-0.00011650120051981028,-0.0011332951940880719,0.02789780553669308,0.027354231348079384,0.028025308107257847,0.028172150146747954,0.029231428143923953,0.019412692613045276,0.018759841672864385,0.019035454051017902,0.01890570929528318,0.019107454762065774,0.0002789467660101749,0.005100369461350295,-0.6737976212567491,0.0002243195009814226,-0.0007192072909835652,-0.0003755567150652178,0.002740841499589637,-0.7348939027633546,-0.0022545961734664714,-0.002072064627950803
0,0.4545807128831928,0.40819274675987405,0.5092752026316172,0.416830475479298,0.4400230677020955,5.4891773750406284e-06,9.235170043142678e-06,1.633772049800944e-05,3.597636522830682e-06,1.0885632159286652e-05,0.000747325537286359,0.0007445624040806798,0.0007440987911267068,0.0007448220273349048,0.0007454896299886258,0.0007749754138613104,0.0007749383248249925,0.0007831350018512355,0.0008002145030756018,0.0008044797422521537,-1.5762840435082885e-06,-1.0384930168995784e-06,-5.377910266087102e-07,-2.781677723838156e-06,-2.336609288024051e-06,-6.676026537211575e-07,-5.192465084497892e-07,-5.377910266087102e-07,1.7431847069385778e-06,2.1697086245937617e-06
0,0.4545818640474915,0.4081937804529097,0.5092764923023289,0.41683153104621584,0.4400241820011227,1.0384956467429739e-06,-1.854456512041025e-07,-5.563369536123075e-07,-2.7816847680615375e-07,-4.0798043264902545e-07,0.00028145086483246637,0.0002803752800554826,0.00028050509201132544,0.00028098725070445607,0.0002813581420068643,0.0002911311278253205,0.0002896475626156877,0.00028959192892032647,0.0002895177506598448,0.00028961047348544685,-6.861489094551791e-07,-5.007032582510768e-07,-3.523467372877947e-07,-1.8173673818002044e-06,-1.6133771654756915e-06,-7.603271699368202e-07,-5.748815187327177e-07,-4.4506956288984596e-07,8.345054304184612e-07,1.0384956467429739e-06
0,0.004744900661981957,0.004260704379718901,0.005315800203601422,0.004350864748509881,0.00459294837210459,-9.664966903578054e-05,-8.839975935239745e-05,-5.628034791129351e-05,-0.00011650120051981028,-0.0011332951940880719,0.02789780553669308,0.027354231348079384,0.028025308107257847,0.028172150146747954,0.029231428143923953,0.019412692613045276,0.018759841672864385,0.019035454051017902,0.01890570929528318,0.019107454762065774,0.0002789467660101749,0.005100369461350295,-0.6737976212567491,0.0002243195009814226,-0.0007192072909835652,-0.0003755567150652178,0.002740841499589637,-0.7348939027633546,-0.0022545961734664714,-0.002072064627950803
0,0.004744900661981957,0.004260704379718901,0.005315800203601422,0.004350864748509881,0.00459294837210459,-9.664966903578054e-05,-8.839975935239745e-05,-5.628034791129351e-05,-0.00011650120051981028,-0.0011332951940880719,0.02789780553669308,0.027354231348079384,0.028025308107257847,0.028172150146747954,0.029231428143923953,0.019412692613045276,0.018759841672864385,0.019035454051017902,0.01890570929528318,0.019107454762065774,0.0002789467660101749,0.005100369461350295,-0.6737976212567491,0.0002243195009814226,-0.0007192072909835652,-0.0003755567150652178,0.002740841499589637,-0.7348939027633546,-0.0022545961734664714,-0.002072064627950803
0,0.004744900661981957,0.004260704379718901,0.005315800203601422,0.004350864748509881,0.00459294837210459,-9.664966903578054e-05,-8.839975935239745e-05,-5.628034791129351e-05,-0.00011650120051981028,-0.0011332951940880719,0.02789780553669308,0.027354231348079384,0.028025308107257847,0.028172150146747954,0.029231428143923953,0.019412692613045276,0.018759841672864385,0.019035454051017902,0.01890570929528318,0.019107454762065774,0.0002789467660101749,0.005100369461350295,-0.6737976212567491,0.0002243195009814226,-0.0007192072909835652,-0.0003755567150652178,0.002740841499589637,-0.7348939027633546,-0.0022545961734664714,-0.002072064627950803
0,0.004744900661981957,0.004260704379718901,0.005315800203601422,0.004350864748509881,0.00459294837210459,-9.664966903578054e-05,-8.839975935239745e-05,-5.628034791129351e-05,-0.00011650120051981028,-0.0011332951940880719,0.02789780553669308,0.027354231348079384,0.028025308107257847,0.028172150146747954,0.029231428143923953,0.019412692613045276,0.018759841672864385,0.019035454051017902,0.01890570929528318,0.019107454762065774,0.0002789467660101749,0.005100369461350295,-0.6737976212567491,0.0002243195009814226,-0.0007192072909835652,-0.0003755567150652178,0.002740841499589637,-0.7348939027633546,-0.0022545961734664714,-0.002072064627950803
0,0.004744900661981957,0.004260704379718901,0.005315800203601422,0.004350864748509881,0.00459294837210459,-9.664966903578054e-05,-8.839975935239745e-05,-5.628034791129351e-05,-0.00011650120051981028,-0.0011332951940880719,0.02789780553669308,0.027354231348079384,0.028025308107257847,0.028172150146747954,0.029231428143923953,0.019412692613045276,0.018759841672864385,0.019035454051017902,0.01890570929528318,0.019107454762065774,0.0002789467660101749,0.005100369461350295,-0.6737976212567491,0.0002243195009814226,-0.0007192072909835652,-0.0003755567150652178,0.002740841499589637,-0.7348939027633546,-0.0022545961734664714,-0.002072064627950803
0,0.004744900661981957,0.004260704379718901,0.005315800203601422,0.004350864748509881,0.00459294837210459,-9.664966903578054e-05,-8.839975935239745e-05,-5.628034791129351e-05,-0.00011650120051981028,-0.0011332951940880719,0.02789780553669308,0.027354231348079384,0.028025308107257847,0.028172150146747954,0.029231428143923953,0.019412692613045276,0.018759841672864385,0.019035454051017902,0.01890570929528318,0.019107454762065774,0.0002789467660101749,0.005100369461350295,-0.6737976212567491,0.0002243195009814226,-0.0007192072909835652,-0.0003755567150652178,0.002740841499589637,-0.7348939027633546,-0.0022545961734664714,-0.002072064627950803
0,0.004744900661981957,0.004260704379718901,0.005315800203601422,0.004350864748509881,0.00459294837210459,-9.664966903578054e-05,-8.839975935239745e-05,-5.628034791129351e-05,-0.00011650120051981028,-0.0011332951940880719,0.02789780553669308,0.027354231348079384,0.028025308107257847,0.028172150146747954,0.029231428143923953,0.019412692613045276,0.018759841672864385,0.019035454051017902,0.01890570929528318,0.019107454762065774,0.0002789467660101749,0.005100369461350295,-0.6737976212567491,0.0002243195009814226,-0.0007192072909835652,-0.0003755567150652178,0.002740841499589637,-0.7348939027633546,-0.0022545961734664714,-0.002072064627950803
