,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,status
0,-1.676521090487486,-0.25751330875668366,2.0186920182586197,-0.043753240527242554,-0.20886029027422448,-0.13396175056786033,-0.0071708305195016,-0.10644570356419537,0.04771289896100425,0.05802152861225154,-0.003010709636984511,-0.013877818397532016,0.019515853978281532,-0.02691964960353042,-0.007651310597328506,-0.019073045395798568,0.010204944059298214,-0.04750165150596398,1
1,-2.6408820256572993,1.3920119030386324,-2.0902008324386157,0.5355498095178932,-0.18825774757682862,-0.29971196288020346,-0.23305205638970258,-0.19832902200825958,-0.17118287209390753,-0.26860179091651576,-0.006328771728319856,0.01868182345105461,0.17967267439474555,0.09512254589851368,0.06613588492107532,0.05746786666863093,-0.029551634666972994,-0.07376573555874465,1
2,-2.648910906703978,1.3979614940460898,-2.0874993007397276,0.5352317861319161,-0.18737296702476725,-0.29836117030452053,-0.23119596378791354,-0.19615214030798236,-0.17199153163955616,-0.2668098128795351,-0.006454714635456988,0.01842981275976552,0.17982176771654604,0.09511696195940833,0.06674500958797569,0.057600404878487006,-0.029384791463529875,-0.07275341901320029,1
3,-1.6765210904874817,-0.25751330875672673,2.018692018258589,-0.043753240527270136,-0.20886029027427888,-0.1339617505678561,-0.007170830519452909,-0.10644570356410495,0.04771289896091826,0.058021528612210445,-0.0030107096370224763,-0.013877818397558693,0.019515853978053797,-0.02691964960353527,-0.0076513105972192165,-0.019073045395925088,0.010204944059364406,-0.047501651505987126,1
4,-1.6765210904874817,-0.2575133087567266,2.0186920182585886,-0.043753240527264405,-0.20886029027424202,-0.1339617505678358,-0.007170830519474572,-0.10644570356412923,0.04771289896094675,0.058021528612203985,-0.003010709637014788,-0.013877818397591233,0.019515853978045148,-0.026919649603479815,-0.007651310597209816,-0.01907304539588087,0.01020494405935877,-0.047501651505998055,1
5,-1.6765210904874817,-0.25751330875672673,2.018692018258588,-0.043753240527260435,-0.20886029027423733,-0.1339617505678396,-0.007170830519490816,-0.10644570356414904,0.047712898960932504,0.058021528612195346,-0.003010709637062562,-0.013877818397547407,0.019515853978058505,-0.026919649603505912,-0.007651310597211846,-0.019073045395885016,0.010204944059362994,-0.047501651506007395,1
6,-1.6765210904874817,-0.2575133087567266,2.0186920182585886,-0.04375324052726137,-0.2088602902742386,-0.13396175056783466,-0.007170830519482179,-0.10644570356413888,0.04771289896091895,0.05802152861219889,-0.0030107096370362717,-0.01387781839755236,0.019515853978025174,-0.02691964960344323,-0.007651310597195739,-0.019073045395900105,0.010204944059379568,-0.04750165150598879,1
7,-1.6765210904874817,-0.2575133087567267,2.0186920182585886,-0.04375324052726222,-0.20886029027423872,-0.1339617505678331,-0.007170830519476656,-0.10644570356413714,0.04771289896091534,0.05802152861219897,-0.003010709637021649,-0.013877818397557896,0.019515853978019516,-0.02691964960345196,-0.007651310597193675,-0.01907304539588789,0.010204944059383193,-0.047501651506006735,1
8,-1.6765210904874817,-0.2575133087567266,2.0186920182585886,-0.043753240527262455,-0.20886029027423678,-0.13396175056782902,-0.007170830519470098,-0.10644570356412743,0.04771289896090202,0.05802152861220113,-0.003010709637033617,-0.013877818397534093,0.019515853978034518,-0.026919649603469386,-0.007651310597203656,-0.019073045395896628,0.010204944059372289,-0.047501651506009136,1
9,-1.6765210904874817,-0.2575133087567267,2.0186920182585886,-0.04375324052726209,-0.20886029027423933,-0.13396175056783216,-0.00717083051947641,-0.10644570356413571,0.047712898960913123,0.05802152861221451,-0.0030107096370240827,-0.013877818397571434,0.01951585397804773,-0.02691964960347818,-0.007651310597193127,-0.0190730453958913,0.010204944059373904,-0.047501651505984274,1
